Name,Supervisor Name,Title,Age,Sex,Education,WorkTitleYear,WorkTitleMonth,WorkOrgYear,WorkOrgMonth,RepSupYear,RepSupMonth,RespNumber,NumInd,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,QS1,QS2,QS3R,QS4,QS5,QS6,QS7,QS8R,QS9,QS10,QS11,QS12,QS13,QS14,QS15,QS16,QS17R,QS18R,QS19,QS20R,QS21,QS22,QS23,QS24R,QS25,QS26,QS27R,QS28,QS29,QS30,QS31R,QS32,QS33,QS34,QS35R,QS36
AAA,MAN,Specialist,25,0,3,1,8,1,8,1,8,44,12,6,5,5,6,6,6,7,7,7,6,6,6,4,5,2,2,3,4,4,4,1,1,1,1,1,1,3,2,2,7,7,7,7,7,7,7,7,5,7,3,5,6,4,6,5,6,7,6,6,6,2,1,2,5,6,7,6,6,6,6,6,5,2,7,5,2,5,6,2,1,2,7,6
ANN,YuEYu,Department head,35,1,3,2,0,7,0,7,0,10,6,6,6,6,7,7,7,7,7,7,6,6,6,7,7,2,2,2,2,2,2,4,2,1,2,2,2,1,1,1,7,7,7,7,7,7,7,7,7,7,5,6,6,7,5,6,5,5,5,5,7,5,1,1,1,3,1,7,5,5,7,7,5,1,6,4,4,4,7,1,4,2,7,5
AYuE,TIG,Assistant department head,36,1,3,6,0,8,3,1,0,16,6,5,3,4,3,3,4,2,2,2,7,6,5,3,3,5,3,2,6,6,6,3,1,1,2,2,2,4,3,1,2,3,4,2,2,3,4,4,7,7,5,6,5,7,5,6,5,5,5,5,4,4,1,2,1,3,1,7,5,5,7,6,4,1,6,4,4,4,6,1,3,2,5,4
AYuP,ADN,Lawyer,28,1,3,1,6,2,0,2,0,51,6,6,6,5,2,2,2,6,6,6,5,6,6,7,7,1,1,2,7,6,6,7,2,1,3,4,3,2,2,2,5,7,6,6,6,6,6,6,3,3,1,6,3,3,4,4,4,4,3,3,2,4,3,5,3,6,2,5,2,2,2,2,2,3,2,2,2,2,3,2,6,6,3,3
BMYu,CDV,Head lawyer,25,0,3,2,2,2,3,0,1,64,4,7,7,7,5,2,4,7,7,7,5,7,7,6,6,1,7,5,2,2,2,4,1,1,4,1,4,1,1,1,6,6,6,6,5,6,6,5,5,7,4,5,6,6,5,6,7,7,6,6,7,2,1,1,5,6,3,5,5,5,6,4,3,2,6,2,2,3,7,2,4,2,7,3
BNV,CEB,Lead specialist,43,1,3,5,0,5,0,5,0,3,5,7,7,7,2,2,2,6,6,6,5,5,5,4,4,5,5,5,7,6,6,6,5,5,4,3,3,5,5,5,6,6,6,4,3,3,5,5,6,4,3,4,5,7,5,5,6,7,6,5,3,4,1,3,2,2,3,3,6,6,6,4,4,5,4,3,5,4,2,5,4,3,5,4
BOA,ADN,Head lawyer,28,1,3,1,0,3,0,1,0,54,8,6,7,7,6,6,6,7,7,7,6,7,7,6,6,2,1,1,4,4,4,3,2,1,1,1,1,1,1,1,6,7,7,7,7,7,7,7,5,5,4,3,4,6,5,6,6,5,4,5,5,5,1,1,2,2,1,2,3,3,3,7,5,1,6,5,4,5,7,1,2,1,7,5
BTV,MAN,Lead specialist,26,1,3,1,8,1,8,1,8,45,10,5,4,5,5,4,4,5,5,5,4,5,5,6,6,4,4,4,4,2,2,4,2,2,2,2,2,2,2,2,3,4,5,3,4,5,5,5,5,7,4,4,6,5,7,5,6,7,7,6,5,2,1,2,6,6,7,4,3,5,4,5,4,3,5,5,5,4,5,1,1,2,6,4
BVZ,ADN,Head lawyer,31,1,3,1,0,3,0,1,0,52,7,7,7,7,5,5,3,6,6,7,6,6,6,5,6,3,2,3,7,6,6,7,5,2,1,1,1,2,1,2,4,5,5,3,5,5,5,6,6,6,5,3,6,7,7,7,7,7,6,7,7,2,1,2,6,1,7,4,6,6,5,6,6,5,6,6,6,6,6,6,3,2,6,6
BYuA,KME,Department head,34,1,3,0,8,1,10,1,10,28,12,7,7,7,7,7,7,7,7,7,7,7,7,5,6,6,5,6,5,4,5,6,5,1,3,4,1,1,1,1,6,7,7,7,5,5,5,5,6,6,5,7,7,3,7,7,7,7,7,7,7,1,2,3,3,7,7,6,7,6,5,7,5,1,7,7,7,6,7,3,3,1,7,7
BYuYu,ADN,Lawyer,24,0,3,1,0,1,0,1,0,53,7,6,7,5,2,1,1,6,6,7,7,5,7,7,7,1,3,2,5,7,5,5,3,1,3,3,3,2,2,2,6,7,7,6,5,7,7,6,3,3,2,5,3,4,3,4,3,4,4,4,3,4,3,5,2,6,2,5,2,2,2,2,3,3,2,3,3,3,2,2,6,6,2,3
CCP,TIG,Lead specialist,32,1,3,4,0,5,0,1,0,20,5,6,6,6,6,6,6,5,5,5,5,5,5,4,4,5,5,5,5,5,5,6,5,4,3,5,3,2,2,2,5,5,5,5,5,5,5,5,6,7,6,7,7,7,5,6,5,5,5,5,7,3,2,1,7,5,6,7,5,5,5,7,5,1,6,4,4,4,7,1,2,1,7,5
CEB,YuEYu,Head lawyer,46,1,3,2,10,2,10,2,10,6,12,7,7,5,7,7,7,7,7,7,7,7,7,6,6,4,5,3,1,1,2,1,2,1,1,3,1,1,1,1,4,5,5,5,4,5,5,4,5,5,3,6,6,6,5,6,6,6,6,6,5,1,1,1,1,3,5,1,5,5,5,7,6,1,6,5,2,5,7,1,5,1,7,5
CEC,DDI,Assistant department head,33,1,3,0,10,0,10,0,10,39,5,7,6,7,7,7,6,4,4,5,6,5,6,3,3,2,3,2,2,3,2,4,3,5,1,1,2,4,5,4,7,6,5,5,5,5,5,6,7,7,3,6,6,7,5,6,5,5,5,5,7,1,1,1,7,5,4,7,5,5,5,7,5,1,6,4,4,4,7,1,2,1,7,3
ChAC,ZEV,Specialist,21,1,3,1,0,1,0,1,0,41,5,3,3,3,1,1,1,3,5,3,2,3,3,1,1,1,2,1,7,7,7,6,3,2,2,6,5,1,1,2,2,6,6,3,5,3,3,3,4,6,4,7,5,5,5,7,6,7,6,6,7,1,1,2,6,4,4,6,5,6,5,6,5,1,7,5,4,4,6,2,1,2,6,4
